appln_id,IPC,earliest_filing_year,Company
452332250,F03D,2015,goldwind
452332254,F03D,2016,goldwind
452372307,B66C,2015,goldwind
452372392,B66C,2015,goldwind
452377725,F03D,2015,goldwind
452377757,F03D,2015,goldwind
452377759,F03D,2015,goldwind
452377759,F16M,2015,goldwind
452377761,H02G,2015,goldwind
452377761,F03D,2015,goldwind
452377776,F03D,2015,goldwind
452379051,F16J,2015,goldwind
452379051,F03D,2015,goldwind
452383002,G01M,2015,goldwind
452387570,G02B,2015,goldwind
452387570,F03D,2015,goldwind
452387570,H01R,2015,goldwind
452387850,H02G,2015,goldwind
452387850,F03D,2015,goldwind
456280323,F03D,2015,goldwind
456280325,F03D,2015,goldwind
456280333,F03D,2016,goldwind
456280335,F03D,2016,goldwind
456284595,G01R,2015,goldwind
456326117,E06C,2015,goldwind
456326117,F03D,2015,goldwind
456326697,F03D,2015,goldwind
456326707,H02G,2015,goldwind
456326707,F03D,2015,goldwind
456326717,F03D,2015,goldwind
456327831,F16H,2015,goldwind
456327933,F16J,2015,goldwind
456336869,H02J,2015,goldwind
456419608,F03D,2014,goldwind
456419608,B23P,2014,goldwind
456427587,G01N,2014,goldwind
456427587,H02K,2014,goldwind
456513156,F03D,2015,goldwind
456513170,F03D,2015,goldwind
456518402,G01P,2015,goldwind
456524043,G06Q,2015,goldwind
456555744,B23P,2015,goldwind
456563005,B66C,2015,goldwind
456568375,F03D,2015,goldwind
456568399,F03D,2015,goldwind
456568399,F16J,2015,goldwind
456568405,F03D,2015,goldwind
456568411,F03D,2015,goldwind
456568413,F03D,2015,goldwind
456568415,F03D,2015,goldwind
456568415,B66B,2015,goldwind
456568421,F03D,2015,goldwind
456568427,F03D,2015,goldwind
456568443,F03D,2015,goldwind
456568445,F03D,2015,goldwind
456568447,F03D,2015,goldwind
456568449,F03D,2015,goldwind
456568451,F03D,2015,goldwind
456568453,F03D,2015,goldwind
456568455,F03D,2015,goldwind
456569711,F16J,2015,goldwind
456569711,F03D,2015,goldwind
456570143,F16L,2015,goldwind
456570471,F16N,2015,goldwind
456574701,G01R,2015,goldwind
456575507,G05B,2015,goldwind
456579169,H02H,2015,goldwind
456579539,H02K,2015,goldwind
456579751,H02M,2015,goldwind
456579751,H05K,2015,goldwind
456952263,H02K,2014,goldwind
457539856,F16G,2016,goldwind
457539856,F16H,2016,goldwind
457592041,E06C,2015,goldwind
457779101,F03D,2015,goldwind
457779101,E06C,2015,goldwind
457782559,E05B,2016,goldwind
457782559,E06B,2016,goldwind
457816312,G06F,2015,goldwind
457893452,F03D,2016,goldwind
457893452,B01D,2016,goldwind
457914285,F03D,2015,goldwind
457926909,F03D,2016,goldwind
457933113,F03D,2014,goldwind
457946963,F03D,2016,goldwind
457949877,G01L,2016,goldwind
457957984,F03D,2015,goldwind
458080531,G06F,2015,goldwind
458080650,F03D,2015,goldwind
458080779,G01H,2015,goldwind
458080779,G01P,2015,goldwind
458080781,G06Q,2015,goldwind
458080788,G01M,2015,goldwind
458082239,F03D,2016,goldwind
458093451,F03D,2016,goldwind
458123900,F03D,2016,goldwind
458123947,F16D,2016,goldwind
458123947,F03D,2016,goldwind
458189750,F03D,2016,goldwind
458423226,F03D,2016,goldwind
458454622,F03D,2016,goldwind
458456297,G01H,2016,goldwind
458465842,H01L,2016,goldwind
458466048,G01M,2016,goldwind
458466048,G06N,2016,goldwind
458468363,F16H,2016,goldwind
458493694,F03D,2016,goldwind
458635437,F03D,2015,goldwind
458672424,F03D,2016,goldwind
458677440,F03D,2016,goldwind
458718807,F03D,2016,goldwind
458796830,F03D,2016,goldwind
458800362,F03D,2015,goldwind
458800362,E06C,2015,goldwind
458801518,E06B,2015,goldwind
458801557,F03D,2015,goldwind
458801754,F16D,2015,goldwind
458801754,F03D,2015,goldwind
458803331,G05B,2015,goldwind
458809187,F03D,2015,goldwind
458810068,G01N,2015,goldwind
458810068,G01B,2015,goldwind
458828950,G06Q,2015,goldwind
458829130,F03D,2015,goldwind
458829312,F03D,2015,goldwind
458829312,H01R,2015,goldwind
458829521,G01R,2015,goldwind
458830312,F03D,2015,goldwind
458830554,F03D,2015,goldwind
458830685,F03D,2015,goldwind
458874423,H02K,2014,goldwind
458874425,H02K,2014,goldwind
458874427,H02K,2014,goldwind
458874431,H02K,2014,goldwind
458874433,B01F,2014,goldwind
458874433,F03D,2014,goldwind
458874435,H02K,2014,goldwind
459020771,F16C,2016,goldwind
459022656,F03D,2016,goldwind
459022930,F03D,2016,goldwind
459251944,F03D,2016,goldwind
459275851,F03D,2016,goldwind
459275851,G06Q,2016,goldwind
459311469,F16M,2015,goldwind
459311567,B66C,2015,goldwind
459311567,F03D,2015,goldwind
459332062,F03D,2016,goldwind
467741131,F03D,2016,goldwind
467770539,B66C,2016,goldwind
467792156,B29C,2016,goldwind
467792156,B32B,2016,goldwind
467810622,F16H,2015,goldwind
467810622,F03D,2015,goldwind
467815648,G01C,2015,goldwind
467815648,F03D,2015,goldwind
467817055,B28B,2015,goldwind
467817055,F03D,2015,goldwind
468886489,F03D,2016,goldwind
468891505,F03D,2016,goldwind
468946074,F03D,2016,goldwind
468955566,F03D,2016,goldwind
469544900,B25B,2016,goldwind
469683249,F16C,2016,goldwind
469683249,F16N,2016,goldwind
469683249,F03D,2016,goldwind
469683989,F03D,2016,goldwind
469683989,H02K,2016,goldwind
469821439,G01R,2016,goldwind
469821439,G01K,2016,goldwind
470353117,G01M,2016,goldwind
470354225,H05K,2016,goldwind
470354225,H02M,2016,goldwind
470355829,F03D,2016,goldwind
470355829,H02J,2016,goldwind
470365884,F03D,2016,goldwind
470589228,E02D,2016,goldwind
470908003,H05K,2016,goldwind
470908798,H02J,2016,goldwind
470915245,F03D,2016,goldwind
470915539,G05B,2016,goldwind
470918223,G01R,2016,goldwind
470919297,H04L,2016,goldwind
470941568,B29L,2016,goldwind
470941568,B29C,2016,goldwind
470952050,B23P,2016,goldwind
470952050,F03D,2016,goldwind
470960797,F03D,2016,goldwind
471070486,F03D,2016,goldwind
471070486,H02G,2016,goldwind
471070616,F03D,2016,goldwind
471580428,F03D,2016,goldwind
471714134,F03D,2016,goldwind
471737249,H02G,2016,goldwind
472086161,G05B,2016,goldwind
472086195,G01N,2016,goldwind
472093201,F03D,2016,goldwind
472093949,G05B,2016,goldwind
472093949,F03D,2016,goldwind
472097503,G02B,2016,goldwind
472098209,F03D,2016,goldwind
472380506,F16P,2016,goldwind
472381614,H02G,2016,goldwind
472383418,H02M,2016,goldwind
472384070,F03D,2016,goldwind
472444860,H02J,2015,goldwind
472444860,F03D,2015,goldwind
472672619,F03D,2016,goldwind
472709214,B66B,2016,goldwind
472709970,B60K,2016,goldwind
472709970,B62D,2016,goldwind
472711961,B24B,2016,goldwind
472798132,F03D,2016,goldwind
472803669,G01B,2016,goldwind
472951211,B66C,2016,goldwind
